names,score,budget_x,revenue,country_num,month_num,genre_num,crew_num
Creed III,73,75000000,271616668,1,3,1,1
Avatar: The Way of Water,78,460000000,2316794914,1,12,2,2
The Super Mario Bros. Movie,76,100000000,724459031,1,4,3,3
Mummies,70,12300000,34200000,1,1,4,4
Supercell,61,77000000,340941958.6,2,3,5,5
Cocaine Bear,66,35000000,80000000,1,2,6,6
John Wick: Chapter 4,80,100000000,351349364,1,3,7,7
Puss in Boots: The Last Wish,83,90000000,483480577,1,12,8,8
Attack on Titan,59,71000000,254946484.2,2,9,9,9
The Park,58,119200000,488962491,2,3,10,10
Winnie the Pooh: Blood and Honey,58,100000,3200000,1,2,11,11
The Exorcist,55,12000000,428214478,3,11,12,12
Murder Mystery 2,65,43800000,489543087.4,1,3,13,13
Black Panther: Wakanda Forever,73,250000000,854041058,1,11,14,14
The Pope's Exorcist,72,92000000,462216471.8,1,4,15,15
Prizefighter: The Life of Jem Belcher,62,77600000,562112551,4,7,16,16
Knock at the Cabin,64,20000000,54629497,1,2,17,17
The Devil Conspiracy,65,54060000,492646395.4,2,1,11,18
Cazadora,57,110400000,318117812.6,5,1,18,19
Gold Run,65,123500000,420430064.8,6,12,19,20
The Magician's Elephant,73,82600000,473097256.6,1,3,20,21
Plane,69,25000000,51000000,4,1,21,22
The Passion of the Christ,74,25000000,622313635,1,2,22,23
Batman: The Doom That Came to Gotham,64,145760000,321934831.2,2,3,23,24
Shazam! Fury of the Gods,69,125000000,132107025,1,3,24,25
Consecration,65,54060000,492646395.4,2,2,11,26
Shark Side of the Moon,53,10000,17887093.8,2,8,25,27
Black Adam,71,200000000,391261706,1,10,26,28
Money Shot: The Pornhub Story,58,68500000,280052393,2,3,27,29
M3GAN,74,12000000,167643991,1,1,28,30
Ant-Man and the Wasp: Quantumania,63,200000000,466001332,1,2,2,31
Sayen,62,73800000,370426090.8,5,3,29,32
Die Hart,62,113000000,369995579.2,2,2,30,33
13 Exorcisms,55,2480000,1891519,7,11,31,34
H.P. Lovecraft's Witch House,60,146740000,301123555.2,2,6,12,35
John Wick: Chapter 2,73,40000000,171539887,1,5,7,7
Sick,63,81800000,408307377.8,2,9,11,36
Black Warrant,54,116000000,378399280.8,1,3,32,37
Shotgun Wedding,63,16050000,4495365,1,1,33,38
John Wick: Chapter 3 - Parabellum,74,55000000,326709727,1,5,7,7
Legion of Super-Heroes,63,113400000,778431865.2,2,2,34,39
Fall,73,3000000,16120263,1,9,35,40
Lord of the Streets,52,1000000,22790427.2,2,4,5,41
Little Dixie,60,141340000,748525217.4,2,2,36,42
The Whale,81,3000000,36752010,1,2,22,43
Prey for the Devil,71,27240305,37655699,2,10,11,44
Bandit,62,115000000,484414431,2,9,37,45
Roald Dahl's Matilda the Musical,68,25000000,13276499,1,12,38,46
The Simpsons Meet the Bocellis in Feliz Navidad,52,97200000,425726914.4,2,12,39,47
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,83,15800000,503063688,1,2,40,48
Huesera: The Bone Woman,58,135000000,670271186.2,3,2,41,49
The Last Heretic,55,122400000,344127931.8,8,11,42,50
JUNG_E,63,66240000,580188584,9,1,43,51
A Man Called Otto,79,50000000,108973274,1,1,44,52
Champions,68,51880004,9263009,1,3,45,53
Dungeons & Dragons: Honor Among Thieves,76,150000000,158598670,1,3,46,54
Troll,68,121400000,977795653.4,1,12,47,55
Sonic the Hedgehog 2,76,90000000,405421518,1,3,48,56
A Bronx Tale,78,10000000,17287898,1,5,49,57
Big Trip 2: Special Delivery,65,95200000,416119951.4,1,1,50,58
Encanto at the Hollywood Bowl,73,127000000,533207056.8,2,12,51,59
The Forbidden Legend: Sex & Chopsticks 2,60,89600000,318375960.2,10,3,52,60
Top Gun: Maverick,83,170000000,1481369482,1,5,53,61
On a Wing and a Prayer,65,147400000,445526734.8,2,4,54,62
Sniper: The White Raven,76,1000000,102414815.2,11,8,55,63
The Enforcer,74,1261569,102023958,1,12,56,8
Diabolik - Ginko Attacks,57,21680000,1228459,12,11,57,64
Scream VI,73,35000000,167273149,1,3,58,65
Avatar,76,237000000,2923706026,1,12,59,2
Breaking,67,72000000,318039059.2,2,8,37,66
Tetris,78,172000000,594334899,4,3,60,67
65,63,45000000,56072012,1,3,61,68
Thor: Love and Thunder,66,250000000,760928081,1,7,62,69
Arctic Void,47,147200000,872776677.4,2,1,63,70
Terrifier 2,69,250000,12964783,1,10,12,71
John Wick,74,30000000,75958800,1,11,32,7
Spider-Man: No Way Home,80,200000000,1910048245,1,12,14,72
R.I.P.D. 2: Rise of the Damned,66,52000000,539054106.6,2,11,64,73
Dolphin Boy,65,115000000,489779661,13,4,65,74
Guillermo del Toro's Pinocchio,82,35000000,81567666.2,1,11,66,75
A Frozen Rooster,79,113880000,604874932.2,3,12,67,76
Dragon Ball Super: Super Hero,79,43602530.2,86562140,1,8,68,77
Nocebo,63,112000000,586323916.4,2,11,69,78
Prey,78,65000000,0,1,8,70,79
Hex,61,117480000,457839055.6,2,11,71,80
Medieval,72,23000000,4311284,2,9,72,81
Barbie: Skipper and the Big Babysitting Adventure,73,134400000,716009340.2,2,3,73,82
Super Mario Bros.,43,42000000,20844907,1,6,74,83
Transfusion,64,104580000,260353036.4,1,1,75,2
Jurassic World Dominion,69,165000000,1001978080,1,6,76,3
The Boss Baby: Christmas Bonus,68,51000000,455134472.8,2,12,77,84
Shazam!,70,85000000,363563907,1,4,24,25
El Ãºltimo hombre sobre la Tierra,65,100000000,246367071,14,12,45,85
All Quiet on the Western Front,78,20000000,326479707.4,1,10,78,86
Violent Night,76,20000000,76599607,1,12,79,87
Scream,67,24000000,138874789,1,1,58,65
Scream,67,15000000,173046640,1,1,58,65
Devotion,74,90000000,20000000,1,1,80,88
The Woman King,78,50000000,94374749,1,10,72,89
Evil Dead Rise,74,132500000,469254456.2,1,4,11,90
Perfect Addiction,67,79800000,387664307.6,15,2,81,91
Project Gemini,58,134000000,308786595.8,13,1,82,92
Doctor Strange in the Multiverse of Madness,74,200000000,952224986,1,5,83,93
There Are No Saints,53,136400000,194565354,1,7,84,94
Avengers: Infinity War,83,300000000,2048359754,1,4,76,95
Smile,68,17000000,216049734,1,9,58,96
Â¡Que Viva MÃ©xico!,47,100100000,947468745.8,3,3,45,97
Detective Knight: Independence,56,134200000,772865923.6,2,1,85,98
Strange World,65,135000000,69566884,1,11,86,99
The Ten Commandments,78,13500000,85433929,1,12,16,100
The Ten Commandments,78,10000000,1051907,1,12,16,100
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,80,129000000,645532173.4,16,3,87,48
Four's a Crowd,63,110000000,271669045.6,7,10,45,101
Minions: The Rise of Gru,75,80000000,939200081,1,7,88,102
Creed II,70,50000000,213591522,1,12,22,1
Creed,74,37000000,173567581,1,11,22,1
Beast,68,36000000,59103794,1,8,89,103
Fast X,0,340000000,0,2,5,85,104
My Name Is Vendetta,68,113000000,365992130.6,1,11,85,105
Wrath of Man,77,40000000,103913405,1,4,85,106
Jeepers Creepers: Reborn,57,5000000,5954938,1,9,90,107
Turning Red,75,175000000,10964971,1,3,91,108
Encanto,76,150000000,231120602,1,11,92,109
Prancer: A Christmas Tale,59,86800000,284184080,2,11,93,110
Magic Mike's Last Dance,72,45000000,52000000,1,2,52,111
"Lyle, Lyle, Crocodile",75,50000000,107644101,1,12,94,112
The Penitent Thief,62,15160689,23800,1,2,22,113
Hacksaw Ridge,82,40000000,169023926,1,10,95,114
Venus,55,6000000,7818479,7,12,96,115
The Offering,57,103600000,134150172.6,2,9,12,116
Jujutsu Kaisen 0,82,21835777,195870885,1,3,97,117
The Batman,77,200000000,766326717,1,3,98,118
Life in a Year,83,90000000,627851111.8,2,11,99,119
Super Mario Brothers: Great Mission to Rescue Princess Peach,60,151600000,675230189,16,7,100,120
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",71,180000000,745013115,1,12,101,121
The Exorcism of God,72,1500000,123516163.2,1,7,12,122
Ghosts of the Ozarks,63,113000000,548624602.6,2,2,102,123
Kompromat,65,155140000,302915354,1,12,35,124
Matadero,60,73800000,346352260.6,7,12,22,125
Air,79,28519270.6,5000000,1,4,22,126
Disenchanted,70,142600000,524597714.8,1,11,103,127
Luck,79,147000000,721203091.4,1,8,104,128
Bullet Train,75,85900000,238534963,1,8,30,129
Night at the Museum: Kahmunrah Rises Again,69,124400000,508761361.2,2,12,92,130
Blade of the 47 Ronin,67,131000000,431341845.4,1,10,105,131
Sing 2,80,85000000,404655351,1,12,106,132
Shark Bait,59,106000000,591557010.2,4,6,107,133
Shrek,77,50000000,491812794,1,6,108,134
In His Shadow,62,133000000,407446362.4,17,3,109,135
Savage Salvation,66,85645,244880855.2,2,12,18,136
Sisu,74,6200000,58748957.6,18,1,110,137
"Tango, Tequila and Some Lies",77,105800000,667037174.8,3,3,111,138
Hotel Transylvania: Transformania,71,116000000,557205138.2,1,1,112,139
Operation Fortune: Ruse de Guerre,67,50000000,35800000,1,1,113,106
Kids vs. Aliens,60,143200000,514828593.6,2,1,114,140
Everything Everywhere All at Once,79,25000000,114900000,1,4,14,141
Glass Onion: A Knives Out Mystery,71,40000000,13280000,1,11,115,142
Suro,73,80000000,522029092.4,7,12,35,143
The Lair,59,118200000,307351568.6,4,8,116,144
My Hero Academia: World Heroes' Mission,76,27164600,38410729,1,10,117,145
Unhappily Ever After,81,149000000,1109873157,3,1,111,146
Evil Eye,68,1704500,223147806.6,3,9,12,147
Inspector Sun and the Curse of the Black Widow,68,98140000,494358731.6,7,12,106,148
The Price We Pay,60,126800000,985255868.8,2,1,118,149
Lupin The 3rd vs. Catâ€™s Eye,60,89600000,367393887.6,1,1,119,150
Murder Mystery,63,24000000,205809600.8,1,5,120,13
